2020-11-21 18:23:45,772 INFO [base.py(__init__:11)] - 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="8244a34041cb03db2219ca16a8bbab35")>
2020-11-21 18:23:45,774 INFO [page_mp_login.py(page_mp_login_sucess:35)] - 正在调用自媒体登录业务方法，用户名：13812345678,密码：246810
2020-11-21 18:23:45,775 INFO [base.py(base_find:23)] - 正在查找:('css selector', "[placeholder='请输入手机号']")元素
2020-11-21 18:23:45,906 INFO [base.py(base_input:34)] - 正在对('css selector', "[placeholder='请输入手机号']")元素执行清空操作
2020-11-21 18:23:45,906 INFO [base.py(base_input:36)] - 正在对('css selector', "[placeholder='请输入手机号']")元素执行输入：13812345678 操作
2020-11-21 18:23:46,194 INFO [base.py(base_find:23)] - 正在查找:('css selector', "[placeholder='验证码']")元素
2020-11-21 18:23:46,295 INFO [base.py(base_input:34)] - 正在对('css selector', "[placeholder='验证码']")元素执行清空操作
2020-11-21 18:23:46,295 INFO [base.py(base_input:36)] - 正在对('css selector', "[placeholder='验证码']")元素执行输入：246810 操作
2020-11-21 18:23:47,427 INFO [base.py(base_find:23)] - 正在查找:('css selector', '.el-button--primary')元素
2020-11-21 18:23:47,723 INFO [base.py(base_click:43)] - 正在对('css selector', '.el-button--primary')元素执行点击操作
2020-11-21 18:23:47,723 INFO [base.py(__init__:11)] - 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="8244a34041cb03db2219ca16a8bbab35")>
2020-11-21 18:23:49,066 INFO [base.py(base_find:23)] - 正在查找:('xpath', "//*[text()= '内容管理']/..")元素
2020-11-21 18:23:49,377 INFO [base.py(base_click:43)] - 正在对('xpath', "//*[text()= '内容管理']/..")元素执行点击操作
2020-11-21 18:23:50,448 INFO [base.py(base_find:23)] - 正在查找:('xpath', "//*[contains(text(), '发布文章')]")元素
2020-11-21 18:23:51,509 INFO [base.py(base_click:43)] - 正在对('xpath', "//*[contains(text(), '发布文章')]")元素执行点击操作
2020-11-21 18:23:52,509 INFO [base.py(base_find:23)] - 正在查找:('css selector', "[placeholder='文章名称' ]")元素
2020-11-21 18:23:52,600 INFO [base.py(base_input:34)] - 正在对('css selector', "[placeholder='文章名称' ]")元素执行清空操作
2020-11-21 18:23:52,601 INFO [base.py(base_input:36)] - 正在对('css selector', "[placeholder='文章名称' ]")元素执行输入：test--demo1 操作
2020-11-21 18:23:53,075 INFO [base.py(base_find:23)] - 正在查找:('css selector', '#publishTinymce_ifr')元素
2020-11-21 18:23:54,141 INFO [base.py(base_find:23)] - 正在查找:('css selector', '#tinymce')元素
2020-11-21 18:23:54,206 INFO [base.py(base_input:34)] - 正在对('css selector', '#tinymce')元素执行清空操作
2020-11-21 18:23:54,207 INFO [base.py(base_input:36)] - 正在对('css selector', '#tinymce')元素执行输入：黑马自媒体平台文章发布测试1 操作
2020-11-21 18:23:55,616 INFO [base.py(base_find:23)] - 正在查找:('xpath', "//*[text() = '自动']")元素
2020-11-21 18:23:55,942 INFO [base.py(base_click:43)] - 正在对('xpath', "//*[text() = '自动']")元素执行点击操作
2020-11-21 18:23:55,942 INFO [base.py(base_find:23)] - 正在查找:('css selector', " [placeholder = '请选择'] ")元素
2020-11-21 18:23:56,386 INFO [base.py(base_click:43)] - 正在对('css selector', " [placeholder = '请选择'] ")元素执行点击操作
2020-11-21 18:23:57,388 INFO [base.py(base_find:23)] - 正在查找:('xpath', "//*[text()='数据库']")元素
2020-11-21 18:23:57,708 INFO [base.py(base_click:43)] - 正在对('xpath', "//*[text()='数据库']")元素执行点击操作
2020-11-21 18:23:58,708 INFO [base.py(base_find:23)] - 正在查找:('xpath', "//*[text()='发表']/..")元素
2020-11-21 18:23:59,114 INFO [base.py(base_click:43)] - 正在对('xpath', "//*[text()='发表']/..")元素执行点击操作
2020-11-21 19:01:21,898 INFO [base.py(__init__:11)] - 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="3accf9ce8384bf3fc5dd6a4a911f228d")>
